Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Team
David Raya,ESP,GK,28,38,38,3420,38.0,0,0,0,0,0,0,3,0,Arsenal
William Saliba,FRA,DF,23,35,35,3039,33.8,2,0,2,2,0,0,2,1,Arsenal
Declan Rice,ENG,MF,25,35,33,2825,31.4,4,7,11,4,0,0,7,1,Arsenal
Thomas Partey,GHA,"MF,DF",31,35,31,2797,31.1,4,2,6,4,0,0,4,0,Arsenal
Leandro Trossard,BEL,FW,29,38,28,2546,28.3,8,7,15,8,0,0,4,1,Arsenal
Gabriel Magalhães,BRA,DF,26,28,28,2363,26.3,3,1,4,3,0,0,4,0,Arsenal
Jurriën Timber,NED,DF,23,30,27,2417,26.9,1,3,4,1,0,0,7,0,Arsenal
Martin Ødegaard,NOR,MF,25,30,26,2325,25.8,3,8,11,2,1,1,4,0,Arsenal
Gabriel Martinelli,BRA,"FW,MF",23,33,25,2290,25.4,8,4,12,8,0,0,1,0,Arsenal
Kai Havertz,GER,"FW,MF",25,23,21,1875,20.8,9,3,12,9,0,0,5,0,Arsenal
Bukayo Saka,ENG,"FW,MF",22,25,20,1729,19.2,6,10,16,5,1,1,3,0,Arsenal
Mikel Merino,ESP,"MF,FW",28,28,17,1586,17.6,7,2,9,7,0,0,4,1,Arsenal
Myles Lewis-Skelly,ENG,DF,17,23,15,1369,15.2,1,0,1,1,0,0,3,2,Arsenal
Ben White,ENG,DF,26,17,13,1198,13.3,0,2,2,0,0,0,2,0,Arsenal
Riccardo Calafiori,ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0,Arsenal
Ethan Nwaneri,ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0,Arsenal
Jakub Kiwior,POL,DF,24,17,10,1122,12.5,1,0,1,1,0,0,1,0,Arsenal
Jorginho,ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0,Arsenal
Raheem Sterling,ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0,Arsenal
Gabriel Jesus,BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0,Arsenal
Oleksandr Zinchenko,UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0,Arsenal
Kieran Tierney,SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0,Arsenal
Nathan Butler-Oyedeji,ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0,Arsenal
Takehiro Tomiyasu,JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0,Arsenal
Reiss Nelson,ENG,FW,24,1,0,3,0.0,0,0,0,0,0,0,0,0,Arsenal
Brayden Clarke,WAL,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Jimi Gower,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Ayden Heaven,ENG,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Jack Henry-Francis,IRL,MF,20,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Ismeal Kabia,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Maldini Kacurri,ALB,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Neto,BRA,GK,35,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Josh Nichols,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Eddie Nketiah,ENG,FW,25,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Salah Oulad M'Hand,NED,MF,20,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Jack Porter,ENG,GK,16,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Aaron Ramsdale,ENG,GK,26,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Tommy Setford,ENG,GK,18,0,0,0,0.0,0,0,0,0,0,0,0,0,Arsenal
Emiliano Martínez,ARG,GK,31,37,37,3194,35.5,0,0,0,0,0,0,5,1,Aston Villa
Morgan Rogers,ENG,"FW,MF",22,37,37,3114,34.6,8,10,18,8,0,0,10,0,Aston Villa
Youri Tielemans,BEL,MF,27,36,35,3026,33.6,3,7,10,3,0,1,4,0,Aston Villa
