Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Team
David Raya,ESP,GK,28.0,38,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Arsenal
William Saliba,FRA,DF,23.0,35,35,"3,039",33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,Arsenal
Declan Rice,ENG,MF,25.0,35,33,"2,825",31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,Arsenal
Thomas Partey,GHA,"MF,DF",31.0,35,31,"2,797",31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,Arsenal
Leandro Trossard,BEL,FW,29.0,38,28,"2,546",28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,Arsenal
Gabriel Magalhães,BRA,DF,26.0,28,28,"2,363",26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,Arsenal
Jurriën Timber,NED,DF,23.0,30,27,"2,417",26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Arsenal
Martin Ødegaard,NOR,MF,25.0,30,26,"2,325",25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,Arsenal
Gabriel Martinelli,BRA,"FW,MF",23.0,33,25,"2,290",25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,Arsenal
Kai Havertz,GER,"FW,MF",25.0,23,21,"1,875",20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,Arsenal
Bukayo Saka,ENG,"FW,MF",22.0,25,20,"1,729",19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,Arsenal
Mikel Merino,ESP,"MF,FW",28.0,28,17,"1,586",17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,Arsenal
Myles Lewis-Skelly,ENG,DF,17.0,23,15,"1,369",15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,Arsenal
Ben White,ENG,DF,26.0,17,13,"1,198",13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Arsenal
Riccardo Calafiori,ITA,DF,22.0,19,11,983,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,Arsenal
Ethan Nwaneri,ENG,"FW,MF",17.0,26,11,895,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,Arsenal
Jakub Kiwior,POL,DF,24.0,17,10,"1,122",12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Arsenal
Jorginho,ITA,MF,32.0,15,9,704,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Arsenal
Raheem Sterling,ENG,"FW,MF",29.0,17,7,499,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Arsenal
Gabriel Jesus,BRA,FW,27.0,17,6,608,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,Arsenal
Oleksandr Zinchenko,UKR,"DF,MF",27.0,15,5,527,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Arsenal
Kieran Tierney,SCO,"DF,FW",27.0,13,2,259,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Arsenal
Nathan Butler-Oyedeji,ENG,FW,21.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Takehiro Tomiyasu,JPN,DF,25.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Reiss Nelson,ENG,FW,24.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Brayden Clarke,WAL,DF,17.0,0,0,,,,,,,,,,,Arsenal
Jimi Gower,ENG,MF,19.0,0,0,,,,,,,,,,,Arsenal
Ayden Heaven,ENG,DF,17.0,0,0,,,,,,,,,,,Arsenal
Jack Henry-Francis,IRL,MF,20.0,0,0,,,,,,,,,,,Arsenal
Ismeal Kabia,ENG,MF,18.0,0,0,,,,,,,,,,,Arsenal
Maldini Kacurri,ALB,DF,18.0,0,0,,,,,,,,,,,Arsenal
Neto,BRA,GK,35.0,0,0,,,,,,,,,,,Arsenal
Josh Nichols,ENG,DF,18.0,0,0,,,,,,,,,,,Arsenal
Eddie Nketiah,ENG,FW,25.0,0,0,,,,,,,,,,,Arsenal
Salah Oulad M'Hand,NED,MF,20.0,0,0,,,,,,,,,,,Arsenal
Jack Porter,ENG,GK,16.0,0,0,,,,,,,,,,,Arsenal
Aaron Ramsdale,ENG,GK,26.0,0,0,,,,,,,,,,,Arsenal
Tommy Setford,ENG,GK,18.0,0,0,,,,,,,,,,,Arsenal
Emiliano Martínez,ARG,GK,31.0,37,37,"3,194",35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,Aston Villa
Morgan Rogers,ENG,"FW,MF",22.0,37,37,"3,114",34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,Aston Villa
Youri Tielemans,BEL,MF,27.0,36,35,"3,026",33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,Aston Villa
Ezri Konsa,ENG,DF,26.0,34,33,"2,936",32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Aston Villa
Ollie Watkins,ENG,FW,28.0,38,31,"2,598",28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0,Aston Villa
Lucas Digne,FRA,DF,31.0,32,28,"2,351",26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Aston Villa
John McGinn,SCO,"MF,FW",29.0,34,27,"2,223",24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,Aston Villa
Matty Cash,POL,DF,26.0,27,24,"2,070",23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,Aston Villa
Pau Torres,ESP,DF,27.0,24,23,"2,020",22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
Boubacar Kamara,FRA,MF,24.0,26,20,"1,726",19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,Aston Villa
Amadou Onana,BEL,MF,22.0,26,20,"1,617",18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,Aston Villa
Jacob Ramsey,ENG,"FW,MF",23.0,29,19,"1,623",18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,Aston Villa
Leon Bailey,JAM,"FW,MF",26.0,24,14,"1,139",12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,Aston Villa
Tyrone Mings,ENG,DF,31.0,14,12,"1,120",12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
Ian Maatsen,NED,DF,22.0,29,10,"1,139",12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,Aston Villa
Marco Asensio,ESP,MF,28.0,13,9,743,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,Aston Villa
Diego Carlos,BRA,DF,31.0,10,8,830,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
Axel Disasi,FRA,DF,26.0,7,5,490,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
Lamare Bogarde,NED,"DF,MF",20.0,8,5,476,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
Andrés García,ESP,"DF,MF",21.0,7,5,318,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Jáder Durán,COL,FW,20.0,20,4,638,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,Aston Villa
Marcus Rashford,ENG,FW,26.0,10,4,444,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,Aston Villa
Ross Barkley,ENG,MF,30.0,20,3,581,6.5,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,Aston Villa
Jaden Philogene Bidace,ENG,"FW,MF",22.0,11,2,332,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Aston Villa
Donyell Malen,NED,FW,25.0,14,2,305,3.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,Aston Villa
Robin Olsen,SWE,GK,34.0,4,1,226,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Kosta Nedeljković,SRB,DF,18.0,5,0,126,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Emi Buendía,ARG,"MF,FW",27.0,12,0,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
Benjamin Broggio,ENG,FW,17.0,0,0,,,,,,,,,,,Aston Villa
Joe Gauci,AUS,GK,24.0,0,0,,,,,,,,,,,Aston Villa
Jamaldeen Jimoh,ENG,MF,17.0,0,0,,,,,,,,,,,Aston Villa
Sil Swinkels,NED,DF,20.0,0,0,,,,,,,,,,,Aston Villa
Kadan Young,ENG,MF,18.0,0,0,,,,,,,,,,,Aston Villa
Oliwier Zych,POL,GK,20.0,0,0,,,,,,,,,,,Aston Villa
Milos Kerkez,HUN,DF,20.0,38,38,"3,336",37.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,Bournemouth
Antoine Semenyo,GHA,FW,24.0,37,36,"3,203",35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,Bournemouth
Illia Zabarnyi,UKR,DF,21.0,36,35,"3,109",34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,Bournemouth
Lewis Cook,ENG,"MF,DF",27.0,36,32,"2,978",33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,Bournemouth
Kepa Arrizabalaga,ESP,GK,29.0,31,31,"2,790",31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bournemouth
Justin Kluivert,NED,MF,25.0,34,29,"2,340",26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,Bournemouth
Evanilson,BRA,FW,24.0,31,28,"2,319",25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,Bournemouth
Ryan Christie,SCO,MF,29.0,29,27,"2,117",23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,Bournemouth
Dean Huijsen,ESP,DF,19.0,32,26,"2,427",27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,Bournemouth
Dango Ouattara,BFA,FW,22.0,32,21,"2,005",22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,Bournemouth
Tyler Adams,USA,MF,25.0,28,21,"1,965",21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,Bournemouth
Marcus Tavernier,ENG,"FW,MF",25.0,29,20,"1,939",21.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0,Bournemouth
Adam Smith,ENG,DF,33.0,25,19,"1,590",17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Bournemouth
Marcos Senesi,ARG,DF,27.0,17,13,"1,106",12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Bournemouth
David Brooks,WAL,"FW,MF",27.0,29,9,960,10.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,Bournemouth
Alex Scott,ENG,MF,20.0,20,8,755,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bournemouth
Julian Araujo,MEX,DF,22.0,12,7,497,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Bournemouth
James Hill,ENG,DF,22.0,10,6,448,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Bournemouth
Mark Travers,IRL,GK,25.0,5,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
