Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Jordan Pickford,ENG,GK,30,38,38,"3,420",38.0,0,1,1,0,0,0,7,0
Vitaliy Mykolenko,UKR,DF,25,35,35,"3,082",34.2,1,2,3,1,0,0,4,0
Idrissa Gana Gueye,SEN,MF,34,37,35,"3,063",34.0,0,3,3,0,0,0,9,0
James Tarkowski,ENG,DF,31,33,33,"2,922",32.5,1,1,2,1,0,0,6,0
Abdoulaye Doucouré,MLI,MF,31,33,31,"2,564",28.5,3,2,5,3,0,0,5,1
Iliman Ndiaye,SEN,FW,24,33,29,"2,430",27.0,9,0,9,7,2,2,3,0
Jarrad Branthwaite,ENG,DF,22,30,28,"2,511",27.9,0,1,1,0,0,0,4,0
Jack Harrison,ENG,FW,27,34,24,"2,076",23.1,1,0,1,1,0,0,0,0
Ashley Young,ENG,DF,39,32,19,"1,875",20.8,1,3,4,1,0,0,7,1
Dominic Calvert-Lewin,ENG,FW,27,26,19,"1,609",17.9,3,1,4,3,0,0,2,0
James Garner,ENG,"MF,DF",23,21,17,"1,594",17.7,0,1,1,0,0,0,5,0
Jake O'Brien,IRL,DF,23,20,17,"1,571",17.5,2,0,2,2,0,0,5,0
Beto,GNB,FW,26,30,15,"1,534",17.0,8,0,8,8,0,0,2,0
Dwight McNeil,ENG,"MF,FW",24,21,15,"1,371",15.2,4,6,10,4,0,0,1,0
Jesper Lindstrøm,DEN,FW,24,25,15,"1,239",13.8,0,1,1,0,0,0,2,0
Orel Mangala,BEL,MF,26,19,14,"1,261",14.0,1,0,1,1,0,0,2,0
Michael Keane,ENG,DF,31,14,11,"1,049",11.7,3,0,3,3,0,0,5,0
Carlos Alcaraz,ARG,"FW,MF",21,15,7,764,8.5,2,3,5,2,0,0,4,0
Tim Iroegbunam,ENG,MF,21,18,5,574,6.4,0,1,1,0,0,0,4,0
Armando Broja,ALB,FW,22,10,4,334,3.7,0,0,0,0,0,0,1,0
Nathan Patterson,SCO,DF,22,10,3,347,3.9,0,1,1,0,0,0,1,0
Séamus Coleman,IRL,DF,35,5,3,215,2.4,0,0,0,0,0,0,1,0
Roman Dixon,ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0
Harrison Armstrong,ENG,MF,17,3,0,48,0.5,0,0,0,0,0,0,1,0
Youssef Chermiti,POR,"FW,MF",20,4,0,45,0.5,0,0,0,0,0,0,1,0
Mason Holgate,JAM,"FW,DF",27,1,0,6,0.1,0,0,0,0,0,0,0,0
Callum Bates,ENG,MF,18,0,0,,,,,,,,,,
Asmir Begović,BIH,GK,37,0,0,,,,,,,,,,
Coby Ebere,GER,MF,18,0,0,,,,,,,,,,
Isaac Heath,ENG,MF,19,0,0,,,,,,,,,,
Neal Maupay,FRA,"FW,MF",27,0,0,,,,,,,,,,
Jenson Metcalfe,ENG,MF,19,0,0,,,,,,,,,,
Martin Sherif,NED,FW,18,0,0,,,,,,,,,,
João Virgínia,POR,GK,24,0,0,,,,,,,,,,
Reece Welch,ENG,DF,20,0,0,,,,,,,,,,
